experiment,eval,weather,class,mAP50,mAP50_std,mAP50_n,mAP50-95,mAP50-95_std,mAP50-95_n,precision,precision_std,precision_n,recall,recall_std,recall_n
S3_acdc,5fold,rain,person,0.2463,0.0285,5,0.0987,0.0112,5,0.6347,0.0626,5,0.1814,0.0396,5
S3_acdc,5fold,rain,rider,0.2448,0.1651,5,0.0968,0.0797,5,0.7504,0.1577,5,0.1989,0.1398,5
S3_acdc,5fold,rain,car,0.6974,0.0359,5,0.4279,0.019,5,0.7542,0.1195,5,0.6286,0.0508,5
S3_acdc,5fold,rain,truck,0.2793,0.1376,5,0.2172,0.1022,5,0.3087,0.2427,5,0.3734,0.1917,5
S3_acdc,5fold,rain,bus,0.2127,0.161,5,0.1357,0.1167,5,0.3754,0.26,5,0.1188,0.1181,5
S3_acdc,5fold,rain,bicycle,0.153,0.0673,5,0.0664,0.0305,5,0.672,0.3456,5,0.1121,0.0443,5
S3_acdc,5fold,snow,person,0.3689,0.0721,5,0.1669,0.0439,5,0.5913,0.1305,5,0.3378,0.0825,5
S3_acdc,5fold,snow,rider,0.1994,0.1323,5,0.0857,0.0717,5,0.2856,0.2592,5,0.1948,0.1675,5
S3_acdc,5fold,snow,car,0.7056,0.0099,5,0.4522,0.0177,5,0.6754,0.0836,5,0.6722,0.0432,5
S3_acdc,5fold,snow,truck,0.2643,0.0857,5,0.1816,0.0766,5,0.3336,0.0347,5,0.3394,0.0805,5
S3_acdc,5fold,snow,bus,0.1935,0.0892,5,0.103,0.0705,5,0.4113,0.1845,5,0.1929,0.1327,5
S3_acdc,5fold,snow,bicycle,0.1058,0.0383,5,0.0546,0.0298,5,0.3821,0.1826,5,0.0848,0.0444,5
S3_acdc,official,overall,person,0.2734,,1,0.1147,,1,0.732,,1,0.1985,,1
S3_acdc,official,overall,rider,0.1169,,1,0.0511,,1,0.4933,,1,0.0996,,1
S3_acdc,official,overall,car,0.693,,1,0.4424,,1,0.7797,,1,0.6257,,1
S3_acdc,official,overall,truck,0.3036,,1,0.2133,,1,0.4391,,1,0.3396,,1
S3_acdc,official,overall,bus,0.1669,,1,0.0869,,1,0.3081,,1,0.1429,,1
S3_acdc,official,overall,bicycle,0.0907,,1,0.0355,,1,0.437,,1,0.06,,1
S3_acdc,official,fog,person,0.4192,,1,0.2145,,1,0.8665,,1,0.3142,,1
S3_acdc,official,fog,rider,0.4234,,1,0.184,,1,0.8434,,1,0.2727,,1
S3_acdc,official,fog,car,0.8207,,1,0.5647,,1,0.8863,,1,0.7389,,1
S3_acdc,official,fog,truck,0.3035,,1,0.197,,1,0.6232,,1,0.2927,,1
S3_acdc,official,fog,bus,0.6315,,1,0.4431,,1,0.4796,,1,0.6,,1
S3_acdc,official,fog,bicycle,0.3378,,1,0.1761,,1,0.8883,,1,0.2273,,1
S3_acdc,official,night,person,0.2079,,1,0.0871,,1,0.3626,,1,0.2269,,1
S3_acdc,official,night,rider,0.0681,,1,0.031,,1,0.4682,,1,0.1032,,1
S3_acdc,official,night,car,0.4797,,1,0.2933,,1,0.1838,,1,0.5902,,1
S3_acdc,official,night,truck,0.1044,,1,0.0551,,1,0.1434,,1,0.375,,1
S3_acdc,official,night,bicycle,0.0395,,1,0.0152,,1,0.1431,,1,0.0649,,1
S3_acdc,official,rain,person,0.2947,,1,0.1107,,1,0.5443,,1,0.2537,,1
S3_acdc,official,rain,rider,0.0328,,1,0.01,,1,0.0,,1,0.0,,1
S3_acdc,official,rain,car,0.6808,,1,0.4185,,1,0.5719,,1,0.6907,,1
